DATE,WFRBLT01004
1989-07-01,3970567.0
1989-10-01,4048810.0
1990-01-01,4026038.0
1990-04-01,4097793.0
1990-07-01,3969246.0
1990-10-01,4116127.0
1991-01-01,4289364.0
1991-04-01,4291486.0
1991-07-01,4394930.0
1991-10-01,4640996.0
1992-01-01,4597386.0
1992-04-01,4571812.0
1992-07-01,4657641.0
1992-10-01,4907752.0
1993-01-01,5093730.0
1993-04-01,5207560.0
1993-07-01,5383401.0
1993-10-01,5572443.0
1994-01-01,5663767.0
1994-04-01,5798267.0
1994-07-01,5955130.0
1994-10-01,6129176.0
1995-01-01,6395737.0
1995-04-01,6622500.0
1995-07-01,6897781.0
1995-10-01,7122332.0
1996-01-01,7237256.0
1996-04-01,7323212.0
1996-07-01,7350795.0
1996-10-01,7574808.0
1997-01-01,7513282.0
1997-04-01,7972989.0
1997-07-01,8258504.0
1997-10-01,8363093.0
1998-01-01,8900660.0
1998-04-01,9048835.0
1998-07-01,8677636.0
1998-10-01,9216823.0
1999-01-01,9183068.0
1999-04-01,9485134.0
1999-07-01,9344775.0
1999-10-01,10179822.0
2000-01-01,10568812.0
2000-04-01,10262796.0
2000-07-01,10266043.0
2000-10-01,9810981.0
2001-01-01,9388390.0
2001-04-01,9620497.0
2001-07-01,9045644.0
2001-10-01,9388445.0
2002-01-01,9479444.0
2002-04-01,9284899.0
2002-07-01,8741360.0
2002-10-01,9006946.0
2003-01-01,8929274.0
2003-04-01,9675349.0
2003-07-01,9995410.0
2003-10-01,10687883.0
2004-01-01,11595443.0
2004-04-01,11672207.0
2004-07-01,12045656.0
2004-10-01,12756514.0
2005-01-01,13000623.0
2005-04-01,13510916.0
2005-07-01,13992979.0
2005-10-01,14396988.0
2006-01-01,15299123.0
2006-04-01,15176415.0
2006-07-01,15489673.0
2006-10-01,16026437.0
2007-01-01,16591530.0
2007-04-01,16688913.0
2007-07-01,16943263.0
2007-10-01,16584602.0
2008-01-01,16118671.0
2008-04-01,15693285.0
2008-07-01,14887697.0
2008-10-01,13380663.0
2009-01-01,13119937.0
2009-04-01,13544638.0
2009-07-01,14568080.0
2009-10-01,14307342.0
2010-01-01,14971326.0
2010-04-01,14737507.0
2010-07-01,15507043.0
2010-10-01,15552986.0
2011-01-01,16281261.0
2011-04-01,16434217.0
2011-07-01,15873516.0
2011-10-01,16080295.0
2012-01-01,16964101.0
2012-04-01,17021375.0
2012-07-01,17638419.0
2012-10-01,17937772.0
2013-01-01,18823087.0
2013-04-01,19026456.0
2013-07-01,19577740.0
2013-10-01,20058746.0
2014-01-01,20831076.0
2014-04-01,21460961.0
2014-07-01,21654904.0
2014-10-01,22233018.0
2015-01-01,22906712.0
2015-04-01,23119442.0
2015-07-01,22650726.0
2015-10-01,23023372.0
2016-01-01,23565447.0
2016-04-01,24072276.0
2016-07-01,24556628.0
2016-10-01,24420303.0
2017-01-01,25240313.0
2017-04-01,25680186.0
2017-07-01,26150272.0
2017-10-01,26940307.0
2018-01-01,27161931.0
2018-04-01,27428590.0
2018-07-01,28066119.0
2018-10-01,26260580.0
2019-01-01,28326169.0
2019-04-01,28807422.0
2019-07-01,28966609.0
2019-10-01,30350458.0
2020-01-01,27015594.0
2020-04-01,30227523.0
2020-07-01,31654987.0
